순서,자사/타사,벌크코드,벌크명,L,a*,b*,△E,h,C
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,62.61958748,20.11323196
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,62.55589697,20.11356259
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,63.59976956,24.8741231
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,63.4968127,24.85167399
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,58.29194903,21.65180824
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,58.17255392,21.84454165
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,58.20019668,21.861537
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,58.0167264,21.97587768
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,65.4055411,22.36943674
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,65.32125433,22.41754893
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,67.2510215,25.60160347
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,67.19335996,25.72090589
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,67.26223972,25.79466999
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,67.12954757,25.67870713
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,65.95294034,22.70011894
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,65.67316358,22.67313829
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,65.67758591,22.62845112
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,65.49626177,23.00166298
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,70.52709384,25.13790763
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,70.46403743,25.1795413
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,69.58273381,27.05999261
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,69.54038785,27.12081304
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,69.44884952,27.4040143
4,타사,타겟제품,에스티로더 더블웨어 파운데이션  #1C1 쿨 본,74.03,11.09,22.24,0.0526,69.3959578,25.14864012
